"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT06","WT07","WT08","WT09","WT10","WT11"
"USW00023064","37.92722","-100.72472","878.4","2000-06-29","0.00",,"69","84","53",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-30","0.00",,"77","90","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-01","0.00",,"80","92","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-02","0.00",,"82","95","69",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-03","1.42",,"80","97","63",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-04","0.00",,"84","99","69",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-05","0.00",,"83","98","68",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-06","0.00",,"81","97","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-07","0.00",,"79","94","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-08","0.00",,"82","96","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-09","0.00",,"87","101","72",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-10","0.29",,"85","100","69",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-11","0.12",,"81","94","68",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-12","0.34",,"81","92","70",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-13","0.00",,"80","93","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-14","0.00",,"82","96","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-15","0.00",,"83","98","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-16","0.00",,"81","93","69",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-17","0.69",,"75","87","62",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-18","0.02",,"79","94","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-19","0.37",,"74","84","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-20","1.22",,"75","90","60",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-21","0.42",,"68","79","57",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-22","0.04",,"71","81","61",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-23","0.01",,"73","85","61",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-24","0.00",,"78","92","63",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-25","0.00",,"75","88","62",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-26","0.00",,"78","92","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-27","0.00",,"79","93","65",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-28","0.09",,"77","89","65",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-29","0.00",,"71","84","58",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-30","0.00",,"72","84","60",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-07-31","0.00",,"73","87","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-01","0.00",,"76","92","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-02","0.00",,"79","96","62",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-03","0.00",,"82","94","70",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-04","0.00",,"80","96","63",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-05","0.12",,"83","97","69",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-06","0.22",,"79","91","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-07","0.00",,"82","95","69",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-08","0.00",,"83","98","68",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-09","0.75",,"79","89","68",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-10","0.05",,"78","90","66",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-11","0.00",,"79","94","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-12","0.00",,"81","97","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-13","0.00",,"81","95","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-14","0.00",,"87","100","73",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-15","0.00",,"87","101","73",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-16","0.00",,"81","98","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-17","0.00",,"75","86","63",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-18","0.00",,"65","73","56",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-19","0.00",,"82","98","66",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-20","0.03",,"79","95","63",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-21","0.00",,"80","93","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-22","0.00",,"80","98","61",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-23","0.00",,"82","98","65",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-24","0.00",,"81","99","62",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-25","0.00",,"85","101","68",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-26","0.00",,"81","100","62",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-27","0.00",,"84","100","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-28","0.00",,"83","101","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-29","0.00",,"80","96","63",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-30","0.00",,"81","97","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-08-31","0.00",,"80","95","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-01","0.00",,"79","98","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-02","0.08",,"81","100","62",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-03","0.00",,"83","100","66",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-04","0.01",,"83","99","66",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-05","0.00",,"82","95","68",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-06","0.00",,"86","105","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-07","0.00",,"74","83","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-08","0.00",,"77","96","57",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-09","0.00",,"81","95","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-10","0.00",,"78","98","58",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-11","0.00",,"75","97","53",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-12","0.00",,"68","85","51",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-13","0.00",,"78","97","58",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-14","0.00",,"71","85","57",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-15","0.00",,"67","85","49",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-16","0.00",,"73","90","55",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-17","0.00",,"77","95","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-18","0.00",,"80","97","62",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-19","0.00",,"69","86","52",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-20","0.00",,"58","68","47",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-09-21","0.00",,"64","81","46",,,,,,,,,,
