"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT16","WT19"
"US1KSGH0001","39.2101","-100.0486","755.0","2009-09-26","0.22",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-10-05","0.02",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-10-06","0.14",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-10-13","0.20",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-10-14","0.33",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-10-21","0.30",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-10-22","1.24",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-10-23","0.03",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-10-29","0.84",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-10-30","0.48",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-11-16","0.36","1.5",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-11-24","0.63",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-12-07","0.01","1.5",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-12-08","0.31","3.2",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-12-23","0.52","5.5",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-01-24","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-02-02","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-02-05","0.13","2.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-02-20","0.01","1.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-02-21","0.27","3.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-03-02","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-03-06","0.59",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-03-09","0.53",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-03-10","0.28",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-03-20","0.20","3.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-03-24","0.14",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-03-27","0.67",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-04-14","0.58",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-04-15","0.92",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-04-16","1.02",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-04-22","0.42",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-04-23","1.98",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-04-25","0.30",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-04-30","0.14",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-01","0.03",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-03","0.11",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-07","0.12",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-11","0.22",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-12","0.74",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-13","0.19",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-16","1.10",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-19","0.38",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-20","0.60",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-26","1.43",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-05-30","0.34",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-06-01","0.03",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-06-07","0.28",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-06-13","0.19",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-06-21","0.48",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-06-22","0.04",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-07-05","0.25",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-07-21","0.06",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-07-23","0.07",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-07-24","0.03",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-07-31","0.45",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-08-04","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-08-16","0.15",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-08-17","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-08-20","0.05",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-08-24","1.01",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-09-11","0.03",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-09-15","2.74",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-09-23","0.26",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-10-13","0.18",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-10-22","0.04",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-10-23","0.09",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-11-12","0.29",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-11-17","0.19",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-12-02","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2010-12-31","0.06","1.5",,,,,,,,,,,,,,,
