"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"USC00140810","37.2757","-95.4728","276.5","2000-05-23","0.00","0.0",,"87","66",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-24","0.00","0.0",,"89","69",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-25","0.22","0.0",,"86","61",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-26","1.65","0.0",,"80","64",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-27","0.21","0.0",,"83","63",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-28","0.06","0.0",,"78","55",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-29","0.00","0.0",,"87","64",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-30","0.00","0.0",,"87","69",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-05-31","0.00","0.0",,"88","72",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-01","0.00","0.0",,"87","70",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-02","0.25","0.0",,"88","66",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-03","0.05","0.0",,"73","62",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-04","0.00","0.0",,"83","66",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-05","0.29","0.0",,"85","54",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-06","0.00","0.0",,"73","54",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-07","0.00","0.0",,"75","56",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-08","0.00","0.0",,"78","57",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-09","0.00","0.0",,"82","64",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-10","0.00","0.0",,"82","70",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-11","0.00","0.0",,"77","68",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-12","0.50","0.0",,"83","69",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-13","0.00","0.0",,"85","71",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-14","1.88","0.0",,"85","64",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-15","0.01","0.0",,"81","63",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-16","0.33","0.0",,"83","62",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-17","1.53","0.0",,"67","58",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-18","0.36","0.0",,"65","55",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-19","0.00","0.0",,"75","62",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-20","0.37","0.0",,"79","66",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-21","1.70","0.0",,"85","65",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-22","0.35","0.0",,"74","61",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-23","0.00","0.0",,"80","66",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-24","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-25","0.00","0.0",,"88","68",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-26","2.41","0.0",,"88","67",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-27","0.00","0.0",,"80","64",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-28","0.07","0.0",,"79","65",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-29","0.08","0.0",,"78","62",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-06-30","0.00","0.0",,"81","67",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-01","1.07","0.0",,"83","70",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-02","0.00","0.0",,"88","71",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-03","0.00","0.0",,"86","72",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-04","0.00","0.0",,"88","73",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-05","0.00","0.0",,"86","70",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-06","0.00","0.0",,"90","71",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-07","0.00","0.0",,"90","71",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-08","0.00","0.0",,"90","74",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-09","0.00","0.0",,"91","74",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-10","0.00","0.0",,"91","74",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-11","0.00","0.0",,"93","74",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-12","0.00","0.0",,"94","75",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-13","0.00","0.0",,"95","71",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-14","0.00","0.0",,"92","68",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-15","0.00","0.0",,"95","69",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-16","0.00","0.0",,"97","74",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-17","0.18","0.0",,"97","73",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-18","0.04","0.0",,"85","74",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-19","0.00","0.0",,"91","74",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-20","1.39","0.0",,"90","67",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-21","0.74","0.0",,"88","67",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-22","0.71","0.0",,"85","67",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-23","0.00","0.0",,,,,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-24","0.00","0.0",,"80","62",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-25","0.00","0.0",,"83","65",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-26","0.00","0.0",,"82","64",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-27","0.19","0.0",,"87","67",,,,,,,,,,
"USC00140810","37.2757","-95.4728","276.5","2000-07-28","0.00","0.0",,"87","67",,,,,,,,,,
